"('date', '')","('open', 'ATLO')","('high', 'ATLO')","('low', 'ATLO')","('close', 'ATLO')","('volume', 'ATLO')"
2024-08-15 00:00:00+00:00,18.014738082090297,18.24434684650735,17.86166557247893,18.005170822143555,16000
2024-08-16 00:00:00+00:00,18.0147395773862,18.579195187718305,17.966905098450287,18.39742088317871,19000
2024-08-19 00:00:00+00:00,18.48352287494322,18.789667894233403,17.89993279144115,18.053007125854492,21900
2024-08-20 00:00:00+00:00,17.737295303336772,17.746860738763672,17.51725196838379,17.51725196838379,7800
2024-08-21 00:00:00+00:00,17.775562925680397,17.775562925680397,17.08673659879489,17.153705596923828,18700
2024-08-22 00:00:00+00:00,16.991066224134038,17.10586970229862,16.57968314037945,16.74232292175293,18100
2024-08-23 00:00:00+00:00,16.72318777094389,17.46941764999623,16.541415299897857,17.373746871948242,25600
2024-08-26 00:00:00+00:00,17.545953292533877,17.995603561401367,17.2780754883417,17.995603561401367,17900
2024-08-27 00:00:00+00:00,16.82842596274148,17.488552330047533,16.82842596274148,17.201539993286133,13400
2024-08-28 00:00:00+00:00,17.220674049592304,17.794696882865704,17.163272313695447,17.67989158630371,11400
2024-08-29 00:00:00+00:00,17.651191480787276,17.966903762690333,17.392880934293427,17.880800247192383,9800
2024-08-30 00:00:00+00:00,17.93820356093356,18.158245086669922,17.70859477432582,18.158245086669922,17000
2024-09-03 00:00:00+00:00,18.158243726241,18.158243726241,17.65119171142578,17.65119171142578,7500
2024-09-04 00:00:00+00:00,17.47898490981426,17.55552116729696,16.88582754574711,17.364179611206055,34700
2024-09-05 00:00:00+00:00,17.56508842804422,17.65119194581058,17.220674356978783,17.373746871948242,10400
2024-09-06 00:00:00+00:00,17.50768494663207,17.50768494663207,17.297210693776066,17.306777954101562,5800
2024-09-09 00:00:00+00:00,17.19197273403469,17.6129230664511,17.19197273403469,17.230241775512695,13100
2024-09-10 00:00:00+00:00,17.038899832066292,17.727727964935465,17.0293325719133,17.603355407714844,9800
2024-09-11 00:00:00+00:00,17.373746794900754,17.622490086815095,17.029332725362693,17.478984832763672,15200
2024-09-12 00:00:00+00:00,17.679891665942876,17.69902618625078,17.584220889171647,17.632057189941406,8900
2024-09-13 00:00:00+00:00,17.756427843689035,17.88080040037076,17.60335533144098,17.699026107788086,16300
2024-09-16 00:00:00+00:00,17.699026105260025,17.871233137706565,17.478984597030912,17.660757064819336,9300
2024-09-17 00:00:00+00:00,17.708595274680373,17.95733859005908,17.660758968971884,17.73729705810547,13200
2024-09-18 00:00:00+00:00,17.66075714386451,18.01473847045209,17.220674125436577,17.603355407714844,10000
2024-09-19 00:00:00+00:00,17.986036379467695,18.139108889736235,17.699025878906248,17.938201904296875,13000
2024-09-20 00:00:00+00:00,17.670323949414133,18.11997604119518,17.670323949414133,18.09127426147461,69400
2024-09-23 00:00:00+00:00,17.98603645726404,17.98603645726404,17.689458695431966,17.871232986450195,14500
2024-09-24 00:00:00+00:00,17.938203981756686,17.938203981756686,17.80426597595215,17.80426597595215,7700
2024-09-25 00:00:00+00:00,17.699026341918668,17.79469711953135,17.35461227242034,17.440715789794922,24200
2024-09-26 00:00:00+00:00,17.60335556328729,17.746860817313856,17.364179531653583,17.421581268310547,25200
2024-09-27 00:00:00+00:00,17.61292259155252,17.699026107788086,17.60335533144098,17.699026107788086,7700
2024-09-30 00:00:00+00:00,17.622490084782186,17.622490084782186,17.373746792896537,17.440715789794922,9800
2024-10-01 00:00:00+00:00,17.258943880528157,17.258943880528157,16.809291758564402,16.885828018188477,14700
2024-10-02 00:00:00+00:00,16.885828181741523,16.962364442106914,16.550981358354797,16.732755661010742,32700
2024-10-03 00:00:00+00:00,16.67535400369203,16.751890264432696,16.560548700196833,16.6370849609375,9700
2024-10-04 00:00:00+00:00,16.84755890154078,17.000631403533117,16.84755890154078,16.914527893066406,10300
2024-10-07 00:00:00+00:00,17.010200745417595,17.010200745417595,16.69448844331242,16.74232292175293,7700
2024-10-08 00:00:00+00:00,16.742321238778736,16.742321238778736,16.53184700012207,16.53184700012207,5900
2024-10-09 00:00:00+00:00,16.589250564563013,16.771024869012034,16.57011604309082,16.57011604309082,8400
2024-10-10 00:00:00+00:00,16.378774491615175,16.503145217895508,16.378774491615175,16.503145217895508,13600
2024-10-11 00:00:00+00:00,16.541413900040492,16.93366241455078,16.522279381096535,16.93366241455078,25300
2024-10-14 00:00:00+00:00,17.000633239746094,17.07716949900883,16.971931458234433,17.000633239746094,6500
2024-10-15 00:00:00+00:00,17.00063496871014,17.555523360989184,17.00063496871014,17.172842025756836,12000
2024-10-16 00:00:00+00:00,17.19197212320879,17.928634722572014,17.19197212320879,17.880800247192383,10700
2024-10-17 00:00:00+00:00,17.785129940216777,17.785129940216777,17.220674356978783,17.373746871948242,20400
2024-10-18 00:00:00+00:00,17.507684865890074,17.507684865890074,17.220674356522032,17.364179611206055,7700
2024-10-21 00:00:00+00:00,17.08673528818801,17.412014818237164,16.53184700012207,16.53184700012207,8500
2024-10-22 00:00:00+00:00,17.2972111814946,17.2972111814946,16.761457361538604,16.818859100341797,6600
2024-10-23 00:00:00+00:00,16.8666934967041,16.8666934967041,16.608384760958998,16.8666934967041,6800
2024-10-24 00:00:00+00:00,17.048467717258063,17.191972975277633,16.67535368145351,16.991065979003906,9900
2024-10-25 00:00:00+00:00,17.0293312640943,17.0293312640943,15.010686058432157,15.976958274841309,53800
2024-10-28 00:00:00+00:00,16.08219491381917,16.665784980737264,16.08219491381917,16.484010696411133,12000
2024-10-29 00:00:00+00:00,16.522281814247012,16.522281814247012,16.16830046072748,16.359642028808594,18100
2024-10-30 00:00:00+00:00,16.35964004398968,16.570114283528557,16.311803745388882,16.407474517822266,14000
